"plot","CWM_statut","CWM_stade_saprox","CWM_dbh","FDis_statut","FDis_stade_saprox","FDis_dbh","FRic","FDiv","FEve","FDis"
"NISW1A1",2.8937733757266,3,35.9540780410591,0.226589604100984,1.11022302462516e-16,0.478479390657737,0.0143336816920353,0.788256267365431,0.537817369898285,0.112303138123203
"NISW1A2",2.85666061110305,3,52.5095774477438,0.298135036930061,1.11022302462516e-16,0.480186504335672,0.0856996340039961,0.720517787889077,0.681156188609219,0.15975216178744
"NISW2A1",2.81274436737656,3,45.3156677894173,0.375162164829925,1.02801481663181e-16,0.728301363560459,0.0624202511861172,0.891643770647881,0.63483276893261,0.167178548502387
"PEY1B1",2.99162327845049,2.33333333333333,36.0293987621574,0.0189041555397411,0.490845155314602,0.447187235866911,0.0180074923449285,0.758265435618412,0.975034197459773,0.164998855578024
"PEYR3A1",2.00812636628439,2.9090808155231,30.6629388622797,0.926553770125227,0.182563959815791,0.201599613071857,0.235622848862797,0.718146328547725,0.553373384673069,0.142549881497134
"PUI1A1",2.97515277075727,2.40002628314402,43.5140494364617,0.0549568852701097,0.530124377072438,0.494209594852752,0.00275118213620721,0.951850635856245,0.76561401657384,0.0749488387649423
"SAR1A3",3,0,0,9.3132141780582e-18,0,0,0,0,0,0
"SAR4B1",2.95238433238691,3,29.25,0.102856941194819,0,0,0,0,0,0
"19",2.92461230835927,1.55623595340939,21.6717696505704,0.195234029095239,0.757938761608959,0.133735445557558,0,0,0,0.0717163057729592
"35",2.92191597229975,3,25.2,0.210165782119466,0,0,0,0,0,0
"70",2.77645956928921,2.50528916405875,29.2236481323221,0.533131625907036,0.767563572815219,0.146870331490775,0,0,0,0.198468779645494
"71",2.78483562708518,2.62719578178276,33.416959437571,0.522962214072347,0.717970985992765,0.250449479043021,0.036460734472091,0.818038409261307,0.920423376784376,0.190499689204993
"81",2.93982150371368,2,33.3333333333333,0.158409823623588,0,0,0,0,0,0
"179",2.9445470394926,2,59,0.146704599242023,0,0,0,0,0,0
"236",2.86991860805991,2.31631302743749,46.9801049573756,0.316948862385225,0.664044725144333,0.318994447002203,0.0214885850860065,0.760329714643995,0.918934259393598,0.160397980844625
"249",2.98280392297465,1,17.5,0.0473360117648871,0,0,0,0,0,0
"290",3,0,0,1.11022302462516e-16,0,0,0,0,0,0
"351",3,0,0,0,0,0,0,0,0,0
"751",3,0,0,1.11022302462516e-16,0,0,0,0,0,0
"1140",2.66311550633635,2,72.7323561810416,0.625699209302191,0,0.379759471956878,0,0,0,0.0284159899775739
"1343",3,0,0,1.11022302462516e-16,0,0,0,0,0,0
"1346",2.83464355302775,2.58092314611329,87.4359347268136,0.395009641998511,0.747541492613589,0.744783512163757,0.0551328350563661,0.705862269679667,0.623922512384908,0.156083534015974
"1427",2.95261203346345,2,40,0.126438558954472,0,0,0,0,0,0
"1490",2.97972022902556,3,60.6451612903226,0.0562253635561905,0,0.496129034264536,0,0,0,0.0371234918581434
"1491",2.92601132647883,2,59,0.191900868906273,0,0,0,0,0,0
"1502",3,0,0,1.11022302462516e-16,0,0,0,0,0,0
"FAE_21",1.61381509353977,2.61381509353977,35.1452567122393,0.593883843470317,0.429064815101028,0.432591098768924,0.0111834989854192,0.881889622699035,0.820765014430282,0.180791039704982
"FAE_4",1.20270582982015,2.67748187064451,29.7572804327861,0.404905316226188,0.395495779293811,0.447793132421872,0.0334027099789595,0.701297717531528,0.877350667562131,0.120922449947428
"FKN_15",1.76023502760161,2.23658834204855,35.632767832941,1.09433918013088,0.326920512792527,0.571135606161117,0.0337400311181745,0.886200343556505,0.605035949875344,0.105655313037779
"FKN_19",2.94884319416994,3.18088939133521,39.3056156214007,0.123280591499492,0.268191920996724,0.649550054620434,0.0283777486167438,0.890155135695846,0.62418517937183,0.174754991608601
"FKN_21",2.99052592649309,2.52515328884026,36.1342911061331,0.0235884389428137,0.451366753517081,0.720930160638074,0,0,0,0.213285260230653
"FKN_23",2.96562820643493,2.4466001729029,17.9867855894111,0.0840673326202546,0.447350522459322,0.423915010494728,0,0,0,0.19242591262337
"FKO_15",2.73169216740339,2.78700038102224,31.7991763860739,0.551478969894456,0.570604428194795,0.379933914987226,0.268321526647061,0.798859670994801,0.627072613648689,0.313818981719409
"T1_2",2.88703451973508,2.67693007259499,25.3753424383011,0.267032580960648,0.395849759153326,0.00259015685910431,0,0,0,0.0366182981990108
"T1_34",1.2906701502152,3.5203123851269,26.9448197366792,0.532734681290768,0.451765135896063,0.253190775666525,0.0567416829311537,0.911339042613382,0.703930593832171,0.134547033083281
"T1_40",1.45047596895395,3.40579990271079,31.8041995663988,0.739574765777164,0.479919615980727,0.566739565752172,0.119414212711053,0.910575328666448,0.729885024361172,0.155796596716582
"T1_42",2.93643158933243,1.12923663229728,29.6090336452563,0.150024914118248,0.211442299309661,0.386528428902774,0.0782991640254244,0.920818753385496,0.355997947418786,0.17977968723467
"T1_61",1.59747361313188,3.13362455267257,39.5116563371224,0.602534246329223,0.209547480451059,0.58397769671896,0.0670338900539725,0.794103742802939,0.653503268547083,0.157712010523712
"T1_63",2.42370432358452,2.8806065854566,49.9851907269068,0.839404841241913,0.190305940239051,0.545526182649448,0.045614195951597,0.805535292965885,0.752588283709134,0.157291348495998
"T2_23",1.53144762331724,2.66024204264793,32.9782478209552,0.659345270648764,0.507162613590362,0.484722152147242,0.0826934338941052,0.793798888131218,0.620102581992446,0.197117230677075
"T2_65",1.69132086876224,2.48923183216003,41.5167666444539,0.682314773578434,0.45537455580926,0.72110139896967,0.0957749123285228,0.808239448993198,0.667388591183493,0.199699345206369
"T2_71",1.56364415397478,3.00658281777007,35.3289814101883,0.616189731667081,0.16116417684423,0.616057737725095,0.0994542217782927,0.735388463515321,0.927529461416918,0.176512850389954
"T3_3",2.91902911773195,2.43006247134933,33.128863618794,0.187692874413146,0.443658538322259,0.792553226459947,0.0265853633880099,0.37207668980538,0.763583049972319,0.241007523244537
"T3_5",2.86733908820576,1,13,0.288270730210238,0,0,0,0,0,0
"T3_50",1.24834168015621,2.38706335377239,34.2177318015856,0.467669163611852,0.429425357537379,0.453443911486567,0.0300134056314211,0.739586044670448,0.84568437670408,0.144713582407205
"T3_55",1.75812049960786,2.76874187814561,37.6547131107812,0.459415828610651,0.326528981271586,0.55122957975079,0.0645247058278174,0.928536457635064,0.727754756257687,0.146472197487317
"T3_57",1.47118912860003,2.48916113106021,34.9748669652589,0.624258246025343,0.460255553219561,0.628368898990878,0.0645247058278174,0.966180455101806,0.935373169571342,0.204160377932314
"T4_51",2.49224106567055,2.34887353442666,34.6406462636255,0.879931085289264,0.458243061288349,0.518925780169752,0.0783618110363631,0.430067544787857,0.657013429306889,0.19507535884224
"T4_59",2.70073493234085,2.47810808979843,26.8316930390226,0.630316972351974,0.60746977484799,0.209352866448699,0.117304022798865,0.94442522431696,0.730959719809794,0.108528616089072
"T4_64",1,2.83923688987108,35.9372027349456,1.54131020769592e-16,0.869227051231633,0.772975650268327,0.0160197769624374,0.750529174684724,0.854697290699748,0.12733057989275
"T4_70",1.25924722397403,2.04761231567136,25.7957776721191,0.556080713514032,0.0820773106674114,0.0588613569068151,0.0300134056314211,0.983931132761653,0.1291499846771,0.0256279616989958
"T4_73",1.0794663578419,2.09246475456295,25.915360263494,0.183270103355008,0.154065688516677,0.0709855951824277,0.0251705275522908,0.961072290569969,0.162756953975796,0.0553701546452134
"T4_77",1,2.35977857494151,25.0461646505784,4.42095360968843e-17,0.521557892803986,0.0290773156651749,0.00240692609289909,0.955706990527283,0.383151666250718,0.0498532806063557
"T4_81",2.53476224604221,3.25852779651654,26.5103279312582,0.726837807609506,0.434368971932236,0.77731189833789,0.11436367664808,0.705781359369567,0.861311773967242,0.163404372636268
"T4_9",2.8769003811486,2.94286494036375,33.0533142357537,0.289425362734665,0.272919671974045,0.691873888944189,0.0357419736634551,0.631555058312138,0.592934031730079,0.0783842236006419
"TS_1",1.63535048426602,2.93565202750541,33.4701424400506,0.950697088916251,0.203549202704276,0.631582780686436,0.0811202735716603,0.91549485821578,0.740492283847766,0.132936054245285
